Gene ID	Gene Name	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.log2foldchange	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.log2foldchange
ENSMUSG00000000001	Gnai3	0.931050458523648	0.1	0.300003365594472	0.2
ENSMUSG00000000003	Pbsn	NA	0	NA	0
ENSMUSG00000000028	Cdc45	0.979043132003519	-0.1	0.982235592204071	0
ENSMUSG00000000031	H19	0.926084737821418	-0.3	0.733282067105103	-0.2
ENSMUSG00000000037	Scml2	0.960841819785071	-0.2	0.797128140502707	-0.1
ENSMUSG00000000049	Apoh	0.995653800792152	0	0.843338340623451	0.1
ENSMUSG00000000056	Narf	0.185003230492668	0.3	0.269335792938878	0.2
ENSMUSG00000000058	Cav2	0.920107406265692	0.2	0.881794210816682	0
ENSMUSG00000000078	Klf6	0.950797880184231	0.1	0.725541900212356	0.1
ENSMUSG00000000085	Scmh1	0.851540978339962	-0.3	0.539757748124484	-0.1
ENSMUSG00000000088	Cox5a	0.989473296544104	0	0.804368504137732	-0.1
ENSMUSG00000000093	Tbx2	NA	-0.3	0.0395729126694439	0.9
ENSMUSG00000000094	Tbx4	NA	-0.5	0.951049554223349	0
ENSMUSG00000000103	Zfy2	NA	0	NA	0
ENSMUSG00000000120	Ngfr	NA	0.7	0.0549194029621429	0.8
ENSMUSG00000000125	Wnt3	NA	0	NA	0
ENSMUSG00000000126	Wnt9a	0.119583727933384	-0.6	0.0795339874144029	-0.4
ENSMUSG00000000127	Fer	0.989473296544104	0	0.52771220915224	-0.1
ENSMUSG00000000131	Xpo6	0.983700358319692	0	0.727859879459928	0
ENSMUSG00000000134	Tfe3	0.959538699331604	-0.1	0.0574295261309893	-0.3
ENSMUSG00000000142	Axin2	0.829344462647722	-0.3	0.121435798207984	-0.4
ENSMUSG00000000148	Brat1	0.871687143277343	-0.2	0.0535412540858678	-0.3
ENSMUSG00000000149	Gna12	0.914182453223414	-0.1	0.717001587357614	-0.1
ENSMUSG00000000154	Slc22a18	0.989473296544104	0	0.946092845447755	0
ENSMUSG00000000157	Itgb2l	NA	-0.1	0.220179695688832	0.4
ENSMUSG00000000159	Igsf5	NA	-0.1	0.0875856504283593	0.7
ENSMUSG00000000167	Pih1d2	0.989473296544104	0.1	0.027358131173311	0.9
ENSMUSG00000000168	Dlat	0.868819410468791	0.4	0.0120756022555582	0.4
ENSMUSG00000000171	Sdhd	0.993952565402855	0	0.946849843082874	0
ENSMUSG00000000182	Fgf23	NA	0	NA	-0.1
ENSMUSG00000000183	Fgf6	NA	0	NA	0
ENSMUSG00000000184	Ccnd2	0.965478815342542	-0.1	0.637095165174481	-0.1
ENSMUSG00000000194	Gpr107	0.93145262089768	-0.1	0.703760950136324	0
ENSMUSG00000000197	Nalcn	0.030481225064783	-1	0.130882936675279	0.7
ENSMUSG00000000202	Btbd17	0.993445807819949	0	0.93392872462697	0.1
ENSMUSG00000000204	Slfn4	0.897066953986583	0.4	0.887320783840951	-0.1
ENSMUSG00000000214	Th	NA	0.1	NA	0.3
ENSMUSG00000000215	Ins2	NA	0	NA	-0.1
ENSMUSG00000000216	Scnn1g	NA	-0.1	NA	0.3
ENSMUSG00000000223	Drp2	0.958536775971632	0.2	0.0881765073192554	0.7
ENSMUSG00000000244	Tspan32	0.969060483864964	0.2	0.0744566745401431	-0.5
ENSMUSG00000000247	Lhx2	NA	-0.3	NA	-0.1
ENSMUSG00000000248	Clec2g	0.950902443262285	0.3	0.00890481763135126	-1.1
ENSMUSG00000000253	Gmpr	0.944397893946403	-0.2	0.574835988670868	0.1
ENSMUSG00000000263	Glra1	0.552338481145675	0.7	8.37823027573574e-09	1.4
ENSMUSG00000000266	Mid2	0.836058460122146	0.2	0.651497284434441	0.1
ENSMUSG00000000275	Trim25	0.855422053846497	0.1	0.00012021733640832	0.4
ENSMUSG00000000276	Dgke	0.348856531506417	0.3	0.329468515725041	0.2
ENSMUSG00000000278	Scpep1	0.984413180621988	-0.1	0.583557563157951	-0.1
ENSMUSG00000000282	Mnt	0.98095238524896	-0.1	0.921484340787728	0
ENSMUSG00000000290	Itgb2	0.985119064813798	0.1	0.694035382883973	0.2
ENSMUSG00000000295	Hddc2	0.501568200310614	-0.4	0.115867380661226	-0.3
ENSMUSG00000000296	Tpd52l1	0.964893050621764	-0.2	0.229486062566933	0.6
ENSMUSG00000000301	Pemt	0.877361282178848	0.2	0.385349627975053	-0.2
ENSMUSG00000000303	Cdh1	NA	-0.2	0.0759696135085445	0.7
ENSMUSG00000000305	Cdh4	0.703737878971342	-0.7	0.375352565015976	0.4
ENSMUSG00000000308	Ckmt1	NA	-0.3	0.356549352494367	-0.5
ENSMUSG00000000317	Bcl6b	0.819638715276893	0.4	0.190471871101683	0.3
